COB_Group,Hiscox_COB,GL,PL,BOP,Cyber,Full_Industry_Code,Definition
Retail,Party Goods Stores,No,No,Yes,Yes,45322000_11101100_00000005,"Sells party goods such as decorations, tableware, and accessories for celebrations and events."
Retail,Piano & Organ Stores,No,No,Yes,Yes,45114000_11101100_00000002,Provides pianos and organs for sale and may offer tuning or repair services.
Retail,"Piece Goods, Sewing & Needlework Stores",No,No,Yes,Yes,45113000_11101100_00000002,"Offers fabric, patterns, yarn, sewing supplies, and needlework accessories for crafting and sewing projects."
Retail,Popcorn Shops,No,No,Yes,Yes,72251500_11101100_09000000,"Sells popcorn, often made and flavored in-store, as a snack or gift item."
Retail,Pretzel shop,No,No,Yes,Yes,72251500_11101100_10000000,"Specializes in pretzels, preparing and selling them fresh to customers."
Retail,"Record, CD, Music & Tape Stores",No,No,No,Yes,44314200_11101100_00000006,"Offers music on vinyl records, tapes, and CDs"
Retail,School Supplies Stores,No,No,Yes,Yes,45321000_11101100_00000002,"Sells school supplies, including backpacks, notebooks, and writing instruments."
Retail,Scrapbooking Stores,No,No,Yes,Yes,45321000_11101100_00000003,Provides scrapbooking supplies for creative memory-keeping and crafting.
Retail,Sewing Machine Stores,No,No,No,Yes,44311100_11101100_00000000,"Sells sewing machines and may also offer fabric, patterns, and sewing accessories."
Retail,Shoe Stores,No,No,Yes,Yes,44821000_11101100_00000000,Offers shoes and related accessories for various occasions and needs.
Retail,Specialty Food Stores,No,No,No,Yes,45111000_11101100_00000000,"Sells specialty foods, including unique or gourmet items not widely available elsewhere."
Retail,Spice Shops,No,No,No,Yes,44529900_11101100_00000007,"Provides spices for cooking and baking, catering to culinary enthusiasts."
Retail,Sports Apparel & Accessories Stores,No,No,Yes,Yes,44819000_11101100_00000005,Sells sports apparel and accessories for athletes and fans.
Retail,Stores NOC Food / Drink - High Hazard,No,No,No,No,45231900_11101100_00000002,"Offers food and beverages not otherwise classified, considered high hazard."
Retail,Stores NOC Food / Drink - Low Hazard,No,No,No,No,45231900_11101100_00000003,"Sells food and beverages not otherwise classified, considered low hazard."
Retail,Stores NOC Food / Drink - Medium Hazard,No,No,No,No,45231900_11101100_00000004,"Provides food and beverages not otherwise classified, considered medium hazard."
Retail,Stores NOC Other Than Food or Drink - High Hazard,No,No,No,No,45231900_11101100_00000005,"Retail stores not otherwise classified that sell goods other than food or beverages, and are considered high hazard due to the nature of their inventory, operations, or environment."
Retail,Stores NOC Other Than Food or Drink - Low Hazard,No,No,No,No,45231900_11101100_00000006,"Retail stores not otherwise classified that sell goods other than food or beverages, and are considered low hazard due to minimal risk associated with their inventory, operations, or environment."
Retail,Stores NOC Other Than Food or Drink - Medium Hazard,No,No,No,No,45231900_11101100_00000007,"Retail stores not otherwise classified that sell goods other than food or beverages, and are considered medium hazard based on inventory, operations, or environment."
Retail,Sunglass Stores,No,No,Yes,Yes,44613000_11101100_00000000,Sells sunglasses and accessories for eye protection and fashion.
Retail,Tie Shops,No,No,Yes,Yes,44815000_11101100_00000003,Offers ties and related accessories for formal or business attire.
Retail,Trophy Stores,No,No,Yes,Yes,45399800_11101100_00000008,"Sells trophies, plaques, awards, and medals for recognition and achievement."
Retail,T-Shirt Stores,No,No,Yes,Yes,44814000_11101100_00000003,"Specializes in t-shirts, including customizable options for personal or promotional use."
Retail,Uniform Stores,No,No,Yes,Yes,44819000_11101100_00000006,"Offers uniforms for various professions, schools, or organizations."
Retail,Used Merchandise Stores,No,No,No,Yes,45331000_11101100_00000000,"Sells previously owned goods such as clothing, furniture, electronics, and household items, often including thrift shops, and resale outlets."
Retail,Vacuum Cleaner Sales & Service,No,No,No,Yes,44314100_11101100_00000003,Provides vacuum cleaner sales and repair services for home or business cleaning needs.
Retail,Video Tapes & Disc Rental,No,No,Yes,Yes,53228200_11101100_00000000,Rents video tapes and discs for home entertainment.
Retail,Watch Stores,No,No,Yes,Yes,44831000_11101100_00000003,Sells and may service watches for timekeeping and fashion.
Retail,Wigs & Toupees Stores,No,No,Yes,Yes,44815000_11101100_00000004,"Offers wigs and toupees for style, medical needs, or costume purposes."
Retail,Window Treatment Stores,No,No,Yes,Yes,44229100_11101100_00000002,"Sells and services window treatments, including blinds, shades, and curtains."
Retail,Women's Clothing Stores,No,No,Yes,Yes,44812000_11101100_00000002,Provides women’s clothing and accessories for various styles and occasions.
Retail,Yarn Stores,No,No,Yes,Yes,45113000_11101100_00000003,Offers yarn and knitting supplies for crafting and textile projects.
Small Contractors,Air conditioning systems installation and repair,Yes,Yes,No,Yes,23822000_49902100_01000000,"Installs and repairs air conditioning systems and equipment, ensuring proper climate control in residential or commercial settings."
Small Contractors,Appliance and accessories installation and repair,Yes,Yes,No,Yes,81141200_49909900_00000000,"Handles installation and repair of appliances and accessories, providing essential support for household and business operations."
Small Contractors,Arborist,No,Yes,No,No,56173000_37301100_03000000,"Provides professional tree care services, including pruning, removal, planting, and health assessments, often performed by certified specialists."
Small Contractors,At-risk construction management,No,No,No,No,23622000_15420000_02000000,"Oversees and manages construction projects where the manager assumes contractual risk for project delivery, often guaranteeing completion within a set budget and timeline."
Small Contractors,Audio/video installation,No,Yes,No,No,23821000_49209700_01000000,"Provides installation and setup of audio and video equipment, including home theaters, sound systems, projectors, and related technology for residential or commercial clients."
Small Contractors,Bricklaying & tuckpointing,No,Yes,No,No,23814000_47202100_01000000,"Provides bricklaying and tuckpointing services, enhancing the durability and appearance of structures."
Small Contractors,Cabling installation,Yes,Yes,No,Yes,23821000_49905200_01000000,"Installs and repairs telecommunications cables, including phone lines, internet cables, or cable television, supporting modern communication needs."
Small Contractors,Carpentry (exterior only),No,Yes,No,No,23835000_47203100_01000200,"Performs exterior carpentry work, focusing on the construction and maintenance of outdoor structures."
Small Contractors,Carpentry (interior & exterior),No,Yes,No,No,23835000_47203100_01000300,"Handles both interior and exterior carpentry projects, offering comprehensive woodwork solutions."
Small Contractors,Carpentry (interior only),Yes,Yes,No,Yes,23835000_47203100_01000100,"Specializes in interior carpentry, crafting and maintaining indoor wood features."
Small Contractors,Carpet laying & removal,No,Yes,No,No,23833000_47204100_00000000,"Lays and removes carpet, ensuring comfortable and attractive flooring in homes and businesses."
Small Contractors,"Carpet, rug, furniture, or upholstery cleaning (customer’s premises only)",Yes,No,No,Yes,56174000_51601100_00010000,"Cleans rugs, carpets, furniture, or upholstery at the customer's premises, maintaining hygiene and appearance."
Small Contractors,Chimney construction & maintenance,No,No,No,No,23814000_47202100_02000000,"Constructs and maintains chimneys, contributing to safe and efficient heating systems."
Small Contractors,Clock making and repair,Yes,No,No,Yes,81149000_49906400_00000000,"Makes or repairs clocks and watches, providing timekeeping solutions and restoration services."
Small Contractors,Communication equipment installation (cable/satellite),Yes,Yes,No,Yes,23821000_49905200_02000000,"Installs communication equipment such as cable or satellite, enabling access to television and internet services."
Small Contractors,Concrete contractor,No,No,No,No,23839000_47205100_00000000,"Pours, finishes, protects, and repairs concrete, supporting construction and infrastructure projects."
Small Contractors,Counter top installation,No,Yes,No,No,23835000_47204400_00000000,"Installs countertops made of granite, marble, wood, or other materials, enhancing kitchens and workspaces."
Small Contractors,Demolition and excavation,No,Yes,No,No,23891000_17940000_01000000,"Performs the tearing down of structures and the removal of debris, as well as earthmoving and site preparation activities such as digging, grading, and trenching."
Small Contractors,Design-build firms,No,No,No,No,23622000_15420000_03000000,"Offers integrated design and construction services under a single contract, managing both the architectural design and the building process for construction projects."
Small Contractors,Dirt developers,No,No,No,No,23891000_17940000_02000000,"Prepares undeveloped land for construction by grading, leveling, and performing initial site work, often including clearing, excavation, and basic infrastructure installation."
Small Contractors,Door or window installation and repair,Yes,Yes,No,Yes,23835000_47203100_02000300,"Installs, replaces, or repairs windows and doors, improving security and energy efficiency."
Small Contractors,Driveway or sidewalk paving/repaving,Yes,Yes,No,Yes,23899000_47409100_00000000,"Paves or repaves sidewalks and driveways, ensuring safe and accessible outdoor surfaces."
Small Contractors,Drywall or wallboard installation and repair (including framing),No,Yes,No,Yes,23813000_17510000_01000000,"Installs, repairs, and finishes drywall or wallboard, including the construction of framing to support walls and ceilings in residential or commercial buildings."
Small Contractors,Drywall/wallboard installation & repair (no framing/EIFS/external insulation/structural work),Yes,Yes,No,Yes,23831000_47208100_01000000,"Installs and repairs drywall or wallboard, creating smooth and durable interior walls."
Small Contractors,Electric vehicle charging station installation,No,Yes,No,No,23821000_47211100_01000400,"Installs and maintains electric vehicle (EV) charging stations and related infrastructure for homes, businesses, or public spaces."
Small Contractors,Electrical work (exterior only),No,Yes,No,No,23821000_47211100_01000200,"Performs exterior electrical work, ensuring safe and reliable power for outdoor spaces."
Small Contractors,Electrical work (interior & exterior),No,Yes,No,No,23821000_47211100_01000300,"Handles both interior and exterior electrical projects, providing comprehensive electrical solutions."
Small Contractors,Electrical work (interior only),Yes,Yes,No,Yes,23821000_47211100_01000100,"Specializes in interior electrical work, wiring and maintaining indoor electrical systems."
Small Contractors,Electronics (consumer) install & repair,No,Yes,No,Yes,81121100_49909900_00010000,"Installs and repairs consumer electronics, supporting entertainment and productivity."
Small Contractors,Exterior finishing & siding (EIFS),No,Yes,No,No,23839000_49909900_03000000,"Applies exterior insulation and finish systems (EIFS) and other siding materials to building exteriors, providing insulation, weatherproofing, and decorative finishes."
Small Contractors,Fence installation and repair,Yes,Yes,No,Yes,23899000_47403100_00000000,"Installs and repairs fences, enhancing property boundaries and security."
Small Contractors,Fire system installation & sprinkler services,No,Yes,No,No,23822000_47215200_00030000,"Designs, installs, and maintains fire protection systems, including fire sprinklers, alarms, and suppression equipment for residential, commercial, or industrial properties."
Small Contractors,Floor covering installation (including ceramic tile/stone),No,Yes,No,No,23833000_17520000_00000000,"Installs a variety of floor coverings, including carpet, vinyl, hardwood, laminate, ceramic tile, and stone, for residential or commercial spaces."
Small Contractors,Floor covering installation (no ceramic tile/stone),Yes,Yes,No,Yes,23833000_47204200_01000000,"Installs floor coverings such as vinyl or wood (excluding ceramic, tile, or stone), improving flooring aesthetics and function."
Small Contractors,Footwear & leather goods repair,No,No,No,Yes,81143000_51604100_00000000,"Repairs, restores, and maintains shoes, boots, handbags, belts, and other leather goods, often including stitching, resoling, and cleaning."
Small Contractors,Framing contractor,No,Yes,No,No,23813000_17510000_02000000,"Constructs the structural framework of buildings, including walls, floors, and roofs, using wood, steel, or engineered materials."
Small Contractors,Furniture and fixture installation,No,Yes,No,No,23839000_49909900_01000000,"Delivers and installs furniture, fixtures, and related equipment in homes, offices, or commercial spaces, ensuring proper assembly and placement."
Small Contractors,General Contractor - Construction and installation only,No,Yes,No,No,23622000_15420000_01000000,"Manages and oversees construction projects, coordinating labor and materials for building or renovating structures, but does not provide design services."
Small Contractors,Glass & glazing contractor/window contractor/glazier,No,Yes,No,No,23815000_47212100_02000000,"Installs, repairs, and replaces glass in windows, doors, storefronts, and other architectural features, including glazing and sealing."
Small Contractors,Glass installation and repair (no auto work),Yes,Yes,No,Yes,23815000_47212100_01000000,"Installs and repairs glass (excluding auto glass), improving visibility and safety in buildings."
Small Contractors,Gutter & downspout work,No,Yes,No,No,23817000_47221100_00000000,"Installs and repairs gutters and downspouts, protecting buildings from water damage."
Small Contractors,Handyperson (no roof work),Yes,No,No,Yes,23839000_49907100_01000000,"Performs a wide range of repairs and home improvement projects, excluding roof work, as a handyperson."
Small Contractors,Heating and air conditioning installation and repair (no liquefied petroleum gas (LPG)),Yes,Yes,No,Yes,23822000_49902100_02000000,"Installs and repairs heating and air conditioning systems and equipment (excluding liquefied petroleum gas), ensuring comfort and efficiency."
Small Contractors,Home appliance installation,No,Yes,No,Yes,81121100_49903100_00000000,"Installs home appliances, supporting daily living and convenience."
Small Contractors,Home builders,No,No,No,No,23611700_15310000_00000000,"Constructs new residential homes, including single-family houses, townhomes, and subdivisions, managing all phases from site preparation to final inspection."
Small Contractors,Home theater installation,Yes,Yes,No,Yes,81121100_49209700_00000000,"Installs home theater equipment, enhancing entertainment experiences."
Small Contractors,House furnishings installation,No,Yes,No,No,23839000_49909900_02000000,"Installs house furnishings, helping create comfortable and stylish interiors."
Small Contractors,HVAC contractor,No,Yes,No,No,23822000_49902100_03000000,"Installs, maintains, and repairs heating, ventilation, and air conditioning (HVAC) systems for residential, commercial, or industrial buildings."
Small Contractors,Insulation installation,No,Yes,No,No,23817000_17610000_00000000,"Applies thermal, acoustic, or fire-resistant insulation materials to walls, ceilings, attics, and other building areas to improve energy efficiency and comfort."
Small Contractors,Interior finishing work,Yes,Yes,No,Yes,23835000_47203100_03000100,"Performs interior finishing work, adding the final touches to construction or renovation projects."
Small Contractors,Irrigation or drainage systems,No,Yes,No,No,22131000_37301100_00000000,"Installs and repairs irrigation and drainage systems for residential lawns and gardens, supporting healthy landscapes."
Small Contractors,Key cutting services,No,No,No,Yes,81149000_49909400_00000000,"Cuts key copies, providing security and convenience for homes and businesses."
Small Contractors,Land grading services,No,Yes,No,No,23891000_37301900_00000000,"Sculpts or levels land to prepare for construction, gardening, or landscaping projects."
Small Contractors,Lighting installation,No,Yes,No,No,23821000_47211100_02000300,"Installs lighting equipment and fixtures, improving visibility and ambiance."
Small Contractors,Locksmiths,Yes,No,No,Yes,56162200_49909400_00000000,"Installs and repairs locks, and opens locks without keys, enhancing security"
Small Contractors,Mantel work,No,Yes,No,No,23834000_47203100_00000000,"Installs and repairs mantels, adding decorative and functional features to fireplaces."
Small Contractors,Manufacturer,No,No,No,No,31000000_39990000_00000000,"Produces goods or products by transforming raw materials or components into finished items through industrial processes, often for wholesale or retail distribution."
Small Contractors,Masonry work,Yes,Yes,No,Yes,23814000_47205100_00000000,"Performs masonry work, including brick and stone projects, contributing to durable and attractive structures."
Small Contractors,Metal fabrication,No,Yes,No,No,33299900_34990000_01000000,"Cuts, shapes, and assembles metal components to create structures, machinery, or products, using processes such as welding, machining, and forming."
Small Contractors,"Millwrights, plant & machinery installation",No,Yes,No,No,23829000_17960000_00000000,"Installs, maintains, and moves heavy industrial machinery and equipment within plants or factories, ensuring precise alignment and operational readiness."
Small Contractors,Mining contractor,No,No,No,No,21311500_14810000_00000000,"Performs contract-based mining operations, including extraction, site preparation, drilling, blasting, and hauling of minerals or ores for mining companies."
Small Contractors,Musical instrument tuning & repair - no antiques,No,No,No,Yes,81149000_49906300_01000000,"Tunes and repairs musical instruments (excluding antiques), supporting musicians and music education."
Small Contractors,Oil & gas subcontractor,No,No,No,No,21311200_13890000_01000000,"Provides specialized services or labor for oil and gas exploration, drilling, production, or maintenance, typically under contract to primary operators."
Small Contractors,Painting (exterior) less than 3 stories,No,Yes,No,Yes,23832000_47214100_00000200,"Paints building exteriors of fewer than three stories, maintaining and beautifying properties."
Small Contractors,Painting (interior & exterior) less than 3 stories,No,Yes,No,Yes,23832000_47214100_00000300,"Paints interiors and exteriors of buildings of fewer than three stories, offering comprehensive painting services."
Small Contractors,Painting (interior only),Yes,Yes,No,Yes,23832000_47214100_00000100,"Specializes in interior painting for buildings, enhancing aesthetics and protection."
Small Contractors,Paving contractor,No,Yes,No,No,23899000_47409100_01000000,"Constructs, repairs, and maintains paved surfaces such as roads, driveways, parking lots, and walkways using materials like asphalt, concrete, or stone."
Small Contractors,Petroleum contractor,No,No,No,No,21311200_13890000_02000000,"Offers construction, installation, or maintenance services for petroleum facilities, including pipelines, storage tanks, refineries, and related infrastructure."
Small Contractors,Piano tuning,No,No,No,Yes,81149000_49906300_02000000,Tunes and may repair pianos
Small Contractors,Plastering or stucco work,Yes,Yes,No,Yes,23831000_47208100_02000000,"Performs plastering and stucco work, creating smooth and durable wall finishes."
Small Contractors,Plumbing (commercial or industrial),Yes,Yes,No,Yes,23822000_47215200_00020000,"Provides commercial or industrial plumbing services, ensuring safe and efficient water systems."
Small Contractors,Plumbing (residential or domestic),Yes,Yes,No,Yes,23822000_47215200_00010000,"Handles residential plumbing projects, supporting home water supply and drainage."
Small Contractors,Poured concrete foundation & structure contractor,No,No,No,No,23811000_17710000_00000000,"Specializes in pouring and finishing concrete for building foundations, walls, slabs, and structural elements in residential, commercial, or industrial projects."
Small Contractors,Real estate developers,No,No,No,No,53139000_65310200_00000000,"Acquires land, plans, finances, and oversees the development of residential, commercial, or industrial properties, managing projects from concept to completion."
Small Contractors,Refrigeration system install & repair,No,Yes,No,Yes,81141200_49902100_00000000,"Installs or repairs refrigeration systems, maintaining proper temperature for food and other goods."
Small Contractors,Remediation contractor,No,No,No,No,56291000_17990000_00000000,"Performs environmental cleanup and restoration, including removal of hazardous materials, soil remediation, and site decontamination to meet regulatory standards."
Small Contractors,Renovation contractor,No,Yes,No,No,23611800_15310000_00000000,"Manages and executes renovation, remodeling, or restoration projects for existing buildings, including structural, interior, and exterior improvements."
Small Contractors,Roofing contractor,No,Yes,No,No,23816000_17610000_00000000,"Installs, repairs, and maintains roofing systems using materials such as shingles, metal, tile, or membrane for residential, commercial, or industrial buildings."
Small Contractors,Sculptor,No,Yes,No,No,71151000_89990100_00000000,"Creates original three-dimensional artworks by carving, modeling, or assembling materials such as stone, metal, wood, or clay for decorative or artistic purposes."
Small Contractors,Security system installation,Yes,Yes,No,Yes,56162100_49209800_00000000,"Installs electronic security systems, such as alarms, surveillance cameras, and access control devices, for residential, commercial, or industrial properties. Does not provide monitoring services."
Small Contractors,Sheet metal fabrication,No,Yes,No,No,33299900_34990000_02000000,"Cuts, shapes, and assembles sheet metal into products or components for construction, HVAC, or manufacturing, using processes like welding, bending, and forming."
Small Contractors,Sheet metal work (exterior),No,Yes,No,No,23816000_47221100_00000200,"Installs and repairs exterior sheet metal elements such as siding, flashing, gutters, downspouts, and decorative architectural features on buildings."
Small Contractors,Siding installation (< 3 stories),No,Yes,No,No,23817000_47203100_01000000,"Installs siding on buildings with fewer than three stories, improving appearance and protection."
Small Contractors,Sign painting and lettering (exterior only),Yes,Yes,No,Yes,54189000_51912300_00000200,"Provides exterior sign painting and lettering services, enhancing business visibility."
Small Contractors,Sign painting and lettering (interior only),Yes,Yes,No,Yes,54189000_51912300_00000100,"Offers interior sign painting and lettering services, supporting branding and communication."
Small Contractors,Solar energy installation & repair,No,Yes,No,No,23821000_47223100_00000000,Installs and repairs solar energy systems for homes and other small projects.
Small Contractors,Solar panel & solar wall installation,No,Yes,No,No,23821000_47223100_01000000,Installs small-scale photovoltaic solar panels and solar wall systems for residential or light commercial properties. Does not provide system design or large project installations.
Small Contractors,Sound equipment installation,Yes,Yes,No,Yes,23821000_49209700_00000000,"Sets up, installs, and repairs audio systems for events, ensuring quality sound experiences."
Small Contractors,Structural steel & precast concrete contractor,No,No,No,No,23812000_17910000_00000000,"Erects and installs structural steel frameworks and precast concrete components for buildings, bridges, and other large structures."
Small Contractors,Swimming pool contractor,No,Yes,No,No,23899000_17990100_00000000,"Constructs, installs, maintains, and renovates swimming pools and related features, including in-ground and above-ground pools."
Small Contractors,Tailors & seamstress,No,No,No,Yes,81149000_51605200_00000000,"Sews, alters, and repairs clothing, supporting fashion and functionality as a tailor or seamstress."
Small Contractors,Telecom installation,No,Yes,No,No,23821000_49905200_03000000,"Installs, configures, and maintains telecommunications equipment and infrastructure, including cabling, network hardware, and communication systems."
Small Contractors,"Tile, stone, marble, mosaic, or terrazzo work (including exterior work)",No,Yes,No,No,23834000_47204400_00000200,"Installs and repairs tile, stone, marble, mosaic, or terrazzo surfaces for floors, walls, and exteriors, providing decorative and durable finishes."
Small Contractors,"Tile, stone, marble, mosaic, or terrazzo work (interior only)",Yes,Yes,No,Yes,23834000_47204400_00000100,"Installs and repairs interior tile, stone, marble, mosaic, or terrazzo, creating attractive and durable surfaces."
Small Contractors,Trade show booth & display installation,No,Yes,No,No,23839000_49909900_04000000,"Assembles, installs, and dismantles trade show booths, exhibits, and displays for conventions, expos, and promotional events."
Small Contractors,Tree removal,No,No,No,No,56173000_37301100_04000000,"Removes trees, stumps, and large branches from properties for safety, construction, or landscaping purposes, often including site cleanup and disposal."
Small Contractors,Underground utility locating services,No,No,No,No,56199000_73899900_00000000,"Detects and marks the location of underground utilities such as water, gas, electric, and telecommunications lines to prevent damage during excavation."
Small Contractors,Upholstery work,Yes,No,No,Yes,81142000_51609300_00000000,"Provides upholstery services, restoring and enhancing furniture comfort and appearance."
Small Contractors,Utility/telecom cable installation,No,Yes,No,No,23821000_49905200_04000000,"Installs, repairs, and maintains utility and telecommunications cables, including fiber optic, coaxial, and electrical lines, for residential, commercial, or municipal projects."
Small Contractors,Welder,No,Yes,No,No,81131000_76920000_00000000,"Joins, repairs, or fabricates metal parts and structures using welding techniques such as arc, MIG, TIG, or gas welding for construction, manufacturing, or repair."
Small Contractors,Window cleaning (nothing above 15 feet),Yes,No,No,Yes,56172000_37201100_02000000,"Cleans windows up to 15 feet high, maintaining clear views and building aesthetics."
Small Contractors,Window treatment installation,No,Yes,No,Yes,81149000_49909900_00000000,"Installs and maintains window treatments, including blinds, shades, and curtains."
Technology,Application development,Yes,Yes,Yes,Yes,54151900_15125100_00000000,"Develops software applications for mobile devices, creating tools and solutions for smartphones and tablets."
Technology,Application service provider,Yes,Yes,Yes,No,51821000_13119900_01000000,Provides software tools for remote access over the internet as an application service provider.
Technology,Communication Equip Repair & Maintenance,No,No,Yes,Yes,81121300_49202200_00000000,"Installs and repairs telecommunications equipment, excluding line installation, to ensure reliable communication systems."
Technology,Computer & Office Equip Repair & Maintenance,No,No,Yes,Yes,81121200_49201100_01000000,Repairs and maintains computers and office equipment for businesses and individuals.
Technology,Computer consulting,Yes,Yes,Yes,Yes,54169000_15122100_00000000,"Offers computer system consulting services, advising organizations on technology strategies and solutions."
Technology,Computer Facilities Management,No,No,Yes,Yes,54151300_11302100_00000000,"Manages and operates clients’ computer systems or data processing facilities, providing services such as system monitoring, maintenance, and support."
Technology,Computer programming services,Yes,Yes,Yes,Yes,54151100_15125100_01000000,"Programs computer software for specific organizations or functions, tailoring solutions to unique business needs."
Technology,Computer Related Services – High Hazard,No,No,No,No,54151900_15129900_03000000,"Provides computer-related services not otherwise classified, focusing on high-hazard environments."
Technology,Computer Related Services – Low Hazard,No,No,No,No,54151900_15129900_04000000,"Delivers computer-related services not otherwise classified, focusing on low-hazard environments."
Technology,Computer Related Services – Medium Hazard,No,No,No,No,54151900_15129900_05000000,"Provides computer-related services not otherwise classified, with a medium level of operational or technical risk, such as system support, troubleshooting, or basic IT consulting."
Technology,Computer system/network developer,Yes,Yes,Yes,Yes,54151200_15124100_00000000,"Designs, develops, and may install computer networks, ensuring seamless connectivity and communication."
Technology,Computer Systems Integrators,No,No,Yes,Yes,54151200_11302100_03000000,Integrates computer systems to create efficient networks for organizations.
Technology,Computer Training,No,No,Yes,Yes,61142000_11313100_00000000,"Provides training on computer systems, hardware, and software to enhance user skills and productivity."
Technology,Consultants - Computer Hardware,No,No,Yes,Yes,54151200_17206100_00000000,"Consults on computer hardware, offering expertise in selection, deployment, and maintenance."
Technology,Consultants - Computer Software,No,No,Yes,Yes,54151200_15122100_00000000,"Advises on computer software, helping organizations choose and implement the right applications."
Technology,Consultants - Information Technology,No,No,Yes,Yes,54151200_11302100_04000000,"Consults on information technology systems, guiding businesses through technology adoption and optimization."
Technology,Custom Computer Programming,No,No,Yes,Yes,54151100_15125100_02000000,"Creates custom software for specific organizations or functions, addressing unique operational requirements."
Technology,Data processing,Yes,Yes,Yes,Yes,51821000_13119900_02000000,"Offers services to collect, process, analyze, and manage data for clients, including data entry, conversion, reporting, and related support functions."
Technology,"Data Processing Services, Hosting and Related Services",No,No,No,Yes,51821000_15121100_00000000,"Offers data processing, hosting, and related services, managing and analyzing large volumes of information."
Technology,Database designer,Yes,Yes,Yes,Yes,54151200_15124300_00000000,"Designs databases for specific applications, ensuring efficient data storage and retrieval."
Technology,Information Technology Staffing,No,No,Yes,Yes,56132000_15129900_00000000,"Supplies temporary or contract staff for information technology positions, supporting project and operational needs."
Technology,Ink Cartridge Refill,No,No,Yes,Yes,81121200_49201100_02000000,"Refills ink cartridges for office equipment, promoting sustainability and cost savings."
Technology,Internet Services Providers,No,No,No,Yes,51731200_15124100_00000000,"Provides internet connectivity for web browsing, email, and other services as an internet service provider."
Technology,IT consulting,Yes,Yes,Yes,Yes,54169000_15129900_00000000,"Offers advice on system integration, technology strategy, and project management as an IT consultant."
Technology,IT project management,Yes,Yes,Yes,Yes,54169000_15119900_00000000,"Manages IT project management, overseeing technology initiatives from planning to execution."
Technology,IT software/hardware training services,Yes,Yes,Yes,Yes,61142000_13115100_00000000,"Provides training on computer hardware and software, enhancing technical proficiency."
Technology,Office Equipment Repair and Maintenance,No,No,Yes,Yes,81121200_49201100_03000000,"Repairs and maintains office equipment, ensuring smooth business operations."
Technology,Other Communication Services,No,No,Yes,Yes,51791900_15123100_00000000,"Delivers communication services not otherwise classified, supporting diverse business needs."
Technology,Other technology services,No,No,No,No,54151900_15129900_06000000,Offers technology services not otherwise classified.
Technology,Packaged Software Development,No,No,Yes,Yes,51121000_15125200_01000000,"Develops software applications for retail sale, creating packaged solutions for consumers and businesses."
Technology,Personal Computer Repair and Maintenance,No,No,Yes,Yes,81121200_49201100_04000000,"Repairs and maintains personal computers, supporting individual users and small businesses."
Technology,Publishers - Software,No,No,Yes,Yes,51121000_15125200_02000000,"Publishes computer software programs, distributing digital tools and applications."
Technology,Semiconductor Design - No Manufacturing,No,No,Yes,Yes,33441300_17206100_00000000,"Designs semiconductors without manufacturing, contributing to the development of electronic devices."
Technology,Software development,Yes,Yes,Yes,Yes,54151900_15125200_01000000,Conducts research and development for computer software without producing commercial products.
Technology,Software Research and Development - No Products,No,No,Yes,Yes,54151900_15125200_02000000,"Manages technology services companies at the executive level, overseeing strategic direction and operations."
Technology,Technology services,No,No,No,No,54151900_11101100_00000000,Offers technology services not otherwise classified.
Technology,Telecommunication and internet services,No,No,No,Yes,51791900_49202200_00000000,"Provides telecommunications and internet services not otherwise classified, enabling connectivity and communication."
Technology,Telecommunication Service Provider – Wired,No,No,No,Yes,51731100_49202200_00000000,"Supplies wired telecommunication services, supporting reliable voice and data transmission."
Technology,Telecommunication Service Provider – Rebillers & Resellers Only,No,No,No,Yes,51791100_11101100_00000000,"Rebills or resells telecommunications services, acting as intermediaries between providers and customers."
Technology,Value added reseller of computer hardware,Yes,Yes,Yes,Yes,45399800_17206100_00000000,"Resells computer hardware with added software or accessories, offering value-added solutions."
Technology,Web Search Portals,No,No,No,Yes,51913000_15125500_00000000,"Designs digital interfaces for web search portals, enhancing user experience and accessibility."
Technology,Website design,Yes,Yes,Yes,Yes,54151200_15125400_00000000,"Designs and deploys websites, creating an online presence for businesses and individuals."
